score,hand_length,action,result,reward,p_hand_1,p_hand_2,p_hand_is_nbj,p_hand_is_busted,d_hand_1,d_hand_length,money
16,2,SURRENDER,surrendered,-10,30,26,False,False,20,1,8060
19,2,STAND,win,20,10,47,False,False,4,1,8030
10,2,RETRY,unsettled,-5,28,45,False,False,15,1,8010
9,2,DOUBLE DOWN,win,40,43,3,False,False,1,1,7905
13,2,RETRY,unsettled,-5,51,2,False,False,46,1,7885
17,2,SURRENDER,surrendered,-10,51,19,False,False,46,1,7880
10,2,DOUBLE DOWN,draw,0,45,15,False,False,21,1,7870
18,2,DOUBLE DOWN,win,40,13,32,False,False,39,1,7850
18,2,STAND,win,20,20,50,False,False,17,1,7850
10,2,STAND,win,20,2,45,False,False,21,1,7720
9,2,RETRY,unsettled,-5,6,14,False,False,15,1,7690
11,2,HIT,unsettled,0,41,33,False,False,30,1,7645
18,2,HIT,unsettled,0,39,6,False,False,46,1,7625
16,2,DOUBLE DOWN,draw,0,10,18,False,False,25,1,7555
17,2,SURRENDER,surrendered,-10,32,9,False,False,1,1,7555
10,2,HIT,unsettled,0,31,16,False,False,17,1,7545
15,2,SURRENDER,surrendered,-10,18,8,False,False,37,1,7495
15,2,RETRY,unsettled,-5,33,32,False,False,17,1,7455
12,2,HIT,unsettled,0,33,42,False,False,17,1,7450
21,3,RETRY,unsettled,-5,33,42,False,False,17,1,7450
13,3,DOUBLE DOWN,win,40,33,42,False,False,17,1,7445
19,2,DOUBLE DOWN,win,40,26,33,False,False,49,1,7485
14,2,RETRY,unsettled,-5,29,35,False,False,13,1,7495
19,2,STAND,win,20,39,7,False,False,50,1,7460
12,2,HIT,unsettled,0,29,33,False,False,48,1,7390
20,2,STAND,win,20,24,22,False,False,45,1,7310
10,2,DOUBLE DOWN,win,40,15,45,False,False,41,1,7330
16,2,RETRY,unsettled,-5,35,31,False,False,47,1,7360
13,2,RETRY,unsettled,-5,28,36,False,False,27,1,7335
13,2,HIT,unsettled,0,28,11,False,False,27,1,7330
20,2,STAND,win,20,12,37,False,False,51,1,7320
17,2,SURRENDER,surrendered,-10,11,45,False,False,44,1,7280
13,2,HIT,unsettled,0,14,13,False,False,24,1,7270
14,3,DOUBLE DOWN,win,40,14,13,False,False,24,1,7270
13,2,DOUBLE DOWN,win,40,2,35,False,False,40,1,7260
15,2,HIT,unsettled,0,4,24,False,False,28,1,7290
19,3,STAND,win,20,4,24,False,False,28,1,7290
11,2,DOUBLE DOWN,win,40,2,7,False,False,1,1,7310
6,2,STAND,win,20,1,3,False,False,14,1,7350
15,2,HIT,unsettled,0,16,26,False,False,13,1,7320
