game_id,result,reward
364,win,20.0
365,lose,-10.0
366,lose,-40.0
367,lose,-20.0
368,win,20.0
369,lose,-20.0
370,lose,-40.0
371,win,20.0
372,lose,-40.0
373,lose,-20.0
374,win,20.0
375,lose,-20.0
376,lose,-40.0
377,lose,-20.0
378,win,40.0
379,lose,-20.0
380,win,20.0
381,lose,-10.0
382,win,40.0
383,lose,-10.0
384,lose,-20.0
385,win,20.0
386,lose,-20.0
387,win,20.0
388,win,20.0
389,win,20.0
391,lose,-20.0
392,win,20.0
394,lose,-20.0
395,win,20.0
396,lose,-40.0
397,lose,-20.0
398,lose,-20.0
399,lose,-20.0
400,lose,-10.0
401,lose,-20.0
402,lose,-20.0
403,lose,-10.0
404,lose,-20.0
405,lose,-20.0
406,win,20.0
407,win,20.0
409,lose,-40.0
410,lose,-20.0
411,lose,-10.0
413,lose,-40.0
414,lose,-20.0
415,win,20.0
416,lose,-20.0
417,win,20.0
418,lose,-20.0
419,lose,-10.0
420,win,20.0
421,win,20.0
422,lose,-20.0
423,lose,-20.0
424,win,40.0
425,lose,-20.0
426,lose,-20.0
427,lose,-20.0
428,lose,-20.0
429,lose,-20.0
430,win,30.0
431,lose,-20.0
432,lose,-20.0
433,lose,-20.0
434,lose,-10.0
437,lose,-20.0
438,lose,-20.0
439,lose,-20.0
440,win,20.0
441,lose,-20.0
442,win,20.0
443,lose,-20.0
444,win,40.0
445,lose,-20.0
446,win,20.0
447,win,20.0
448,lose,-20.0
449,lose,-10.0
450,lose,-40.0
451,win,40.0
452,lose,-20.0
453,lose,-20.0
454,lose,-20.0
455,lose,-40.0
456,win,20.0
457,lose,-20.0
458,lose,-20.0
459,win,20.0
460,win,40.0
461,lose,-40.0
462,win,20.0
463,lose,-20.0
464,lose,-20.0
465,lose,-20.0
466,lose,-20.0
467,lose,-20.0
468,win,40.0
469,lose,-20.0
470,lose,-20.0
471,lose,-10.0
472,lose,-20.0
473,win,20.0
474,lose,-20.0
475,win,40.0
476,win,20.0
477,lose,-20.0
478,win,20.0
479,lose,-20.0
480,lose,-20.0
481,win,20.0
482,lose,-20.0
483,lose,-20.0
484,lose,-20.0
485,win,20.0
