game_id,result,reward
360,win,20.0
362,lose,-20.0
363,lose,-20.0
364,lose,-20.0
365,lose,-10.0
366,win,20.0
367,lose,-20.0
368,win,20.0
369,lose,-20.0
371,win,20.0
372,lose,-20.0
373,lose,-40.0
374,win,20.0
375,lose,-40.0
376,lose,-20.0
377,win,20.0
378,lose,-20.0
379,lose,-20.0
380,lose,-10.0
381,lose,-20.0
382,win,20.0
384,lose,-20.0
386,win,20.0
387,lose,-20.0
388,win,20.0
389,win,20.0
390,lose,-20.0
391,lose,-20.0
392,lose,-20.0
393,win,20.0
394,win,20.0
395,lose,-20.0
396,lose,-20.0
397,win,20.0
398,lose,-20.0
399,lose,-40.0
400,lose,-20.0
401,lose,-10.0
402,win,20.0
403,win,20.0
404,win,20.0
405,win,20.0
406,win,40.0
407,lose,-20.0
408,win,30.0
409,win,20.0
410,lose,-25.0
411,lose,-20.0
412,lose,-20.0
413,lose,-10.0
414,win,20.0
415,win,20.0
416,lose,-20.0
417,lose,-20.0
418,win,20.0
419,lose,-20.0
420,lose,-10.0
421,lose,-20.0
422,win,20.0
423,win,20.0
424,lose,-20.0
426,win,30.0
427,lose,-20.0
428,lose,-20.0
429,lose,-20.0
432,lose,-20.0
434,lose,-20.0
435,lose,-20.0
436,lose,-20.0
437,lose,-20.0
438,lose,-40.0
439,win,20.0
440,win,30.0
441,lose,-10.0
442,win,20.0
443,win,20.0
444,win,20.0
445,lose,-20.0
446,win,20.0
447,lose,-20.0
448,lose,-20.0
449,lose,-20.0
450,lose,-20.0
451,lose,-20.0
452,win,20.0
453,lose,-20.0
454,win,20.0
455,lose,-10.0
456,lose,-20.0
457,win,20.0
458,lose,-20.0
459,lose,-20.0
460,win,20.0
461,win,40.0
462,lose,-20.0
463,lose,-20.0
464,lose,-20.0
465,lose,-20.0
466,lose,-20.0
467,lose,-20.0
468,win,20.0
469,lose,-20.0
470,lose,-20.0
471,lose,-40.0
472,lose,-40.0
474,lose,-20.0
476,win,20.0
477,win,20.0
478,win,20.0
479,lose,-10.0
480,lose,-20.0
481,lose,-40.0
482,lose,-20.0
483,win,20.0
484,lose,-20.0
485,lose,-20.0
486,lose,-20.0
487,lose,-20.0
488,win,20.0
489,lose,-20.0
490,lose,-20.0
491,lose,-20.0
492,lose,-10.0
493,lose,-20.0
494,lose,-20.0
495,lose,-20.0
496,lose,-20.0
498,win,20.0
499,lose,-20.0
500,win,20.0
501,lose,-20.0
502,lose,-20.0
503,win,20.0
504,lose,-20.0
505,win,20.0
506,lose,-20.0
507,win,20.0
508,lose,-20.0
509,lose,-20.0
510,win,20.0
511,win,20.0
512,win,20.0
513,lose,-20.0
514,lose,-10.0
515,lose,-20.0
516,win,20.0
517,lose,-20.0
518,lose,-10.0
519,win,20.0
520,lose,-20.0
522,lose,-20.0
523,win,20.0
524,lose,-20.0
525,lose,-20.0
526,win,20.0
527,lose,-20.0
529,lose,-20.0
530,lose,-40.0
531,lose,-20.0
532,lose,-20.0
533,lose,-10.0
534,lose,-20.0
535,lose,-20.0
536,lose,-20.0
537,lose,-20.0
538,lose,-20.0
539,lose,-20.0
540,win,40.0
541,lose,-20.0
543,win,20.0
544,lose,-20.0
545,lose,-20.0
546,lose,-10.0
547,win,30.0
548,lose,-20.0
549,lose,-20.0
550,win,20.0
551,lose,-20.0
552,lose,-40.0
553,lose,-20.0
555,win,20.0
556,lose,-20.0
557,win,20.0
558,win,20.0
559,lose,-40.0
560,win,20.0
561,win,30.0
562,win,20.0
563,lose,-20.0
565,lose,-20.0
566,win,20.0
567,lose,-20.0
568,lose,-20.0
569,win,20.0
570,lose,-40.0
571,win,20.0
572,lose,-20.0
573,lose,-20.0
574,win,20.0
575,win,30.0
576,win,20.0
577,lose,-20.0
578,lose,-20.0
579,lose,-20.0
580,win,20.0
581,lose,-10.0
582,lose,-20.0
583,lose,-20.0
585,lose,-20.0
586,win,20.0
587,win,20.0
588,lose,-20.0
589,win,20.0
590,lose,-20.0
591,lose,-40.0
592,lose,-20.0
593,win,30.0
594,win,30.0
595,win,20.0
596,win,20.0
597,lose,-20.0
598,lose,-20.0
599,win,20.0
600,win,20.0
601,lose,-20.0
602,lose,-20.0
603,lose,-20.0
604,lose,-20.0
605,lose,-20.0
606,win,20.0
607,win,40.0
608,lose,-20.0
609,lose,-20.0
610,win,20.0
611,win,20.0
612,lose,-20.0
613,lose,-10.0
614,lose,-20.0
615,win,20.0
616,lose,-20.0
617,lose,-20.0
618,lose,-25.0
619,lose,-40.0
620,win,20.0
621,win,20.0
622,win,20.0
623,lose,-20.0
624,lose,-20.0
625,win,20.0
626,lose,-20.0
627,lose,-20.0
628,lose,-25.0
629,lose,-20.0
630,lose,-20.0
631,lose,-10.0
632,lose,-20.0
633,win,20.0
634,lose,-20.0
635,lose,-10.0
636,lose,-20.0
637,win,30.0
638,lose,-20.0
639,win,20.0
640,lose,-20.0
641,lose,-40.0
642,lose,-10.0
645,lose,-20.0
646,lose,-20.0
647,lose,-10.0
648,lose,-20.0
649,lose,-20.0
651,lose,-20.0
652,lose,-20.0
653,lose,-20.0
654,lose,-10.0
655,lose,-10.0
656,win,30.0
657,lose,-20.0
659,win,20.0
660,win,20.0
661,win,20.0
662,lose,-20.0
664,lose,-20.0
665,lose,-20.0
666,lose,-20.0
667,lose,-10.0
668,win,20.0
669,win,20.0
672,lose,-25.0
673,win,20.0
674,win,30.0
675,lose,-20.0
676,lose,-20.0
677,lose,-10.0
678,win,20.0
679,lose,-20.0
680,win,20.0
681,win,20.0
682,lose,-10.0
683,lose,-20.0
684,lose,-10.0
685,win,30.0
686,lose,-20.0
687,lose,-10.0
688,lose,-20.0
690,win,30.0
691,win,20.0
693,lose,-40.0
694,lose,-20.0
695,win,30.0
696,lose,-20.0
697,lose,-20.0
698,lose,-20.0
699,lose,-20.0
700,lose,-20.0
701,lose,-20.0
702,lose,-20.0
703,lose,-10.0
704,lose,-10.0
705,win,20.0
708,lose,-20.0
709,lose,-10.0
710,win,20.0
711,win,20.0
712,win,20.0
713,lose,-20.0
714,win,20.0
715,lose,-20.0
716,lose,-40.0
717,lose,-20.0
718,lose,-20.0
720,win,20.0
721,win,20.0
722,win,20.0
723,lose,-10.0
725,win,20.0
726,lose,-20.0
727,win,20.0
728,win,20.0
729,lose,-20.0
732,win,30.0
733,win,20.0
735,lose,-20.0
736,win,20.0
737,win,20.0
738,lose,-20.0
739,lose,-20.0
740,lose,-10.0
741,win,20.0
742,lose,-40.0
743,lose,-20.0
744,win,20.0
745,lose,-20.0
746,win,20.0
747,lose,-20.0
748,lose,-10.0
749,lose,-25.0
750,win,20.0
751,win,20.0
752,lose,-20.0
753,lose,-10.0
754,lose,-20.0
755,lose,-20.0
756,lose,-40.0
757,win,30.0
758,win,20.0
759,win,20.0
760,lose,-40.0
761,lose,-10.0
762,lose,-10.0
763,win,20.0
764,lose,-20.0
765,lose,-20.0
766,lose,-20.0
767,lose,-10.0
768,win,20.0
769,lose,-40.0
770,lose,-20.0
771,win,30.0
772,lose,-20.0
773,lose,-10.0
774,lose,-20.0
775,lose,-20.0
776,win,20.0
777,win,20.0
778,win,20.0
779,lose,-20.0
780,lose,-20.0
781,lose,-10.0
782,win,20.0
783,lose,-20.0
784,lose,-10.0
785,lose,-20.0
786,lose,-10.0
787,lose,-10.0
788,win,20.0
789,lose,-20.0
790,win,20.0
791,lose,-20.0
792,lose,-20.0
793,lose,-10.0
794,win,20.0
795,lose,-20.0
796,lose,-20.0
797,lose,-20.0
798,lose,-20.0
799,lose,-20.0
800,lose,-20.0
801,win,20.0
802,lose,-20.0
803,win,30.0
804,win,40.0
805,lose,-20.0
806,win,20.0
807,lose,-10.0
808,lose,-20.0
809,win,20.0
810,win,20.0
811,win,20.0
812,win,20.0
814,win,20.0
816,win,20.0
817,lose,-20.0
818,win,20.0
819,win,20.0
820,win,20.0
822,lose,-40.0
823,win,20.0
824,win,20.0
826,lose,-10.0
827,lose,-20.0
828,win,20.0
829,lose,-40.0
830,win,20.0
831,lose,-20.0
832,win,20.0
833,lose,-20.0
834,lose,-20.0
837,lose,-20.0
838,lose,-20.0
839,lose,-20.0
840,lose,-20.0
841,win,20.0
842,lose,-20.0
844,lose,-10.0
845,lose,-10.0
847,win,40.0
848,win,20.0
849,win,20.0
850,win,20.0
851,win,20.0
852,lose,-20.0
853,lose,-10.0
854,lose,-20.0
855,lose,-20.0
856,lose,-10.0
857,lose,-20.0
858,lose,-20.0
859,lose,-20.0
860,win,30.0
861,lose,-20.0
862,win,20.0
863,lose,-20.0
865,lose,-20.0
866,lose,-20.0
867,lose,-20.0
868,win,20.0
869,win,20.0
870,lose,-20.0
871,lose,-20.0
872,win,20.0
873,lose,-20.0
874,lose,-20.0
875,win,30.0
876,lose,-20.0
877,lose,-20.0
878,lose,-20.0
879,win,20.0
880,win,20.0
881,lose,-20.0
882,win,20.0
883,lose,-20.0
884,lose,-20.0
885,win,20.0
886,lose,-20.0
887,lose,-20.0
888,win,30.0
889,win,20.0
891,win,20.0
892,win,20.0
893,lose,-20.0
894,lose,-20.0
895,win,20.0
896,lose,-20.0
897,lose,-20.0
898,lose,-20.0
899,lose,-20.0
900,lose,-20.0
901,win,30.0
902,win,20.0
903,lose,-20.0
904,win,20.0
905,lose,-20.0
906,lose,-10.0
907,win,20.0
908,win,20.0
909,lose,-40.0
910,lose,-20.0
911,lose,-20.0
912,win,20.0
913,lose,-20.0
914,win,20.0
915,lose,-20.0
917,lose,-20.0
919,lose,-20.0
920,win,20.0
921,win,20.0
922,win,20.0
923,lose,-20.0
924,lose,-20.0
925,win,20.0
927,win,20.0
928,lose,-20.0
929,lose,-20.0
930,lose,-20.0
932,lose,-20.0
933,lose,-20.0
934,win,20.0
935,lose,-20.0
936,win,20.0
937,win,30.0
939,lose,-20.0
940,lose,-40.0
941,win,20.0
942,lose,-20.0
943,win,30.0
944,lose,-20.0
945,win,20.0
946,win,20.0
947,lose,-20.0
948,lose,-20.0
949,lose,-20.0
950,win,20.0
951,lose,-20.0
952,lose,-20.0
953,lose,-20.0
954,win,20.0
955,lose,-20.0
956,win,20.0
957,lose,-20.0
958,win,20.0
959,win,20.0
960,lose,-20.0
961,win,20.0
963,win,20.0
964,lose,-20.0
965,win,20.0
966,win,20.0
967,lose,-20.0
968,lose,-20.0
969,lose,-40.0
970,lose,-10.0
971,lose,-20.0
972,win,20.0
